mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0.8864720344543457,0.009384251952884786,0.0020165443420410156,7.941565043937675e-05,friedman_mse,0.1,huber,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 500, 'subsample': 0.8}",0.9554793951128588,0.9482939179697446,0.9592161076495164,0.9453164222416546,0.9441939553431267,0.9504999596633802,0.005869708404261577,1,-13.954812597638893,-16.03063487480367,-11.489682908301837,-16.134481162984105,-14.528372585582684,-14.427596825862238,1.6940014164022996,1
0.3620463848114014,0.0034210733327521906,0.0010288238525390625,2.167034717857388e-05,friedman_mse,0.1,huber,200,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 200, 'subsample': 0.8}",0.9548489194748659,0.9495478397726744,0.9551803970910364,0.9432215386275107,0.9439953831182648,0.9493588156168705,0.005108822924600751,2,-14.152432764702441,-15.641876690175385,-12.626627715534541,-16.752580080366823,-14.580068262738788,-14.750717102703595,1.3928705389981222,2
0.9577792644500732,0.014133771875237929,0.0017455577850341796,2.8713991832297202e-05,friedman_mse,0.1,huber,500,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 500, 'subsample': 1.0}",0.9541484634221513,0.9482052771507539,0.9563106425945664,0.9427502575923274,0.9438294087493706,0.9490488099018339,0.005410473864137851,3,-14.371988023964825,-16.05811652780172,-12.308213711974146,-16.891632338765852,-14.623277515173339,-14.850645623535977,1.5727925569285184,3
0.3820103645324707,0.003536850877361455,0.0009331703186035156,1.7054512764279794e-05,friedman_mse,0.1,huber,200,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 200, 'subsample': 1.0}",0.9511285478616582,0.9489598927696795,0.9541280202025818,0.9448535991426121,0.943582854181628,0.9485305828316319,0.003905515645474729,4,-15.318568956865573,-15.824160153951086,-12.92310448740463,-16.2710378931654,-14.687464766659552,-15.00486725160925,1.1668177455908222,4
0.18356504440307617,0.0018097659523453216,0.0007140159606933594,3.075152372022271e-05,friedman_mse,0.1,huber,100,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 100, 'subsample': 0.8}",0.9512922190108442,0.9485216434336123,0.9533598775374938,0.943481710605154,0.9428967633525462,0.9479104427879301,0.0041534796488835795,5,-15.267266863816294,-15.960032276045121,-13.139506481955634,-16.675815902811163,-14.866079525217293,-15.181740209969101,1.1929522867500133,5
0.19729280471801758,0.0032167386662277433,0.0006937026977539062,2.868309279482903e-05,friedman_mse,0.1,huber,100,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 100, 'subsample': 1.0}",0.9515918855420432,0.9482129719931012,0.9528715755686535,0.9429707432709725,0.9437041252216376,0.9478702603192817,0.004008567045021461,6,-15.173337540635087,-16.055730866323497,-13.277071448468893,-16.82657767016813,-14.655893440221103,-15.197722193163344,1.2142834380881389,6
0.9187984466552734,0.04302137336489473,0.0030360698699951174,4.5338513515460086e-05,friedman_mse,0.01,huber,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'huber', 'n_estimators': 500, 'subsample': 0.8}",0.9498860812802178,0.9489726260107971,0.9506978288244906,0.9409298615331865,0.9435790904798463,0.9468130976257078,0.0038540679032294488,7,-15.70801533448742,-15.82021241838277,-13.889461766655122,-17.428743243527357,-14.688444597108402,-15.506975472032215,1.1931528953741601,7
0.9792019844055175,0.022887735359153994,0.002793693542480469,5.5318577266057826e-05,friedman_mse,0.01,huber,500,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'huber', 'n_estimators': 500, 'subsample': 1.0}",0.9496269796519073,0.9479475167362965,0.9498502357967133,0.9404421779244371,0.9431668118621385,0.9462067443942985,0.0037543240017095586,8,-15.789229744668518,-16.138030977458257,-14.12824660457001,-17.572635108716486,-14.795775933775559,-15.684783673837766,1.1826637349661178,8
0.3677995204925537,0.006606311620610804,0.0013918876647949219,2.581006381847169e-05,friedman_mse,0.01,huber,200,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'huber', 'n_estimators': 200, 'subsample': 0.8}",0.923854933798633,0.9234151381245062,0.9184491555600813,0.9155461424894388,0.9233501440054531,0.9209231027956225,0.003338518210324793,9,-23.86737852660645,-23.74389838597578,-22.974593387671174,-24.918252042086614,-19.954785782921075,-23.09178162505222,1.686254844583601,9
0.38832793235778806,0.005482745229429919,0.0012764930725097656,2.7841328936556216e-05,friedman_mse,0.01,huber,200,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'huber', 'n_estimators': 200, 'subsample': 1.0}",0.9230737607435032,0.9226589749370331,0.9178337416130781,0.9150768808124572,0.9223299496993704,0.9201946615610884,0.0031839324974786394,10,-24.112234220240804,-23.97833455843719,-23.147968480162337,-25.056708485467635,-20.22038000447168,-23.303125149755928,1.656080370736359,10
