mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_copy_X,param_fit_intercept,param_n_jobs,param_positive,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0.00041942596435546876,6.504352484643693e-05,0.00016264915466308595,9.663925881936033e-06,True,True,-1,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.0003684043884277344,1.550300196382991e-05,0.00014505386352539062,6.96671979916749e-06,True,True,1,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.00034737586975097656,8.727552994596064e-06,0.00013747215270996094,2.867373729395467e-06,False,True,-1,False,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': -1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.00034160614013671874,4.951765054987781e-06,0.00013556480407714844,2.299719915730952e-06,False,True,1,False,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': 1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.0002806663513183594,1.1708658500090536e-05,0.00013866424560546876,2.811318010899291e-06,True,False,-1,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': -1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.0002674579620361328,4.030331918547714e-06,0.00013294219970703126,1.7623633015228584e-06,True,False,1,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.000275421142578125,9.867649303243893e-06,0.00013341903686523438,2.8554544299278007e-06,False,False,-1,False,"{'copy_X': False, 'fit_intercept': False, 'n_jobs': -1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.00026679039001464844,4.969183147473536e-06,0.00013098716735839843,1.6559367517648065e-06,False,False,1,False,"{'copy_X': False, 'fit_intercept': False, 'n_jobs': 1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
1.0334702968597411,1.8745539711014054,0.00029892921447753905,2.5981456129379758e-05,True,True,-1,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'positive': True}",0.3759415171552498,0.37213698512150706,0.36730347718784795,0.40757530451203194,0.4047062729412181,0.385532711383571,0.01707186482378422,9,-195.6087344307542,-194.65877799484133,-178.243958713533,-174.79589817764733,-154.9769226209609,-179.65685838754737,14.928123728690373,9
0.00046062469482421875,4.7001246322532276e-05,0.00015168190002441407,4.537225206514465e-06,True,True,1,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1, 'positive': True}",0.3759415171552498,0.37213698512150706,0.36730347718784795,0.40757530451203194,0.4047062729412181,0.385532711383571,0.01707186482378422,9,-195.6087344307542,-194.65877799484133,-178.243958713533,-174.79589817764733,-154.9769226209609,-179.65685838754737,14.928123728690373,9
0.0008150100708007813,5.354641376532351e-05,0.00015158653259277343,4.091918554863918e-06,False,True,-1,True,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': -1, 'positive': True}",0.3759415171552498,0.37213698512150706,0.36730347718784795,0.40757530451203194,0.4047062729412181,0.385532711383571,0.01707186482378422,9,-195.6087344307542,-194.65877799484133,-178.243958713533,-174.79589817764733,-154.9769226209609,-179.65685838754737,14.928123728690373,9
